GATHERING_CENTER,WELL_NAME,TEST_DATE_TIME,PUMP_MANUFACTURER,PUMP_SERIES_NAME,PUMP_MODEL,CANONICAL_MODEL,NUMBER_OF_STAGES,INSTALL_TOP_DEPTH_FT,CUMULATIVE_RUN_LIFE_DAYS,DAYS_FROM_INSTALLATION,PIP_PSIG,PDP_PSIG,DELTA_P_PSI,WHP_PSIG,WHT_DEG_F,FREQUENCY_HZ,SPEED_RATIO_RF,WATER_CUT_PCT,RESERVOIR_FORMATION,WATER_SALINITY_PPM,WATER_SG,FLUID_GRADIENT_PSI_FT,STAGE_DYNAMIC_HEAD_FT,NORMALIZED_HEAD_60HZ_FT,B_O_RBSTB,B_LIQ_RBSTB,RS_SCFBBL,Q_DOWNHOLE_RBPD,RAW_DOWNHOLE_ERROR_BPD,RAW_DOWNHOLE_PE_PCT,ACTUAL_LIQUID_RATE_STBD,Q_PURE_RAW_STBD,Q_PURE_SURF_STBD,RESIDUAL_ERROR_BPD,PERCENT_ERROR_PCT,ABS_PERCENT_ERROR_MAPE,BIAS_DIRECTION,QC_PASS_TELEMETRY,QC_PASS_POSITIVE_LIFT,QC_PASS_MIN_LIFT,QC_PASS_MIN_FREQ,QC_PASS_WATER_CUT,QC_5_GATES_PASS,IS_ACTIVE_CURRENT_RUN,QUALIFIED_5QC_CLEAN_ACTIVE,TEST_VALIDITY_STATUS,SCREENING_REASON_DETAIL
GC-31,SA-0005_T,2021-01-06 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-764.4,2436.0,2436.0,0.0,204.0,139.0,49.0,0.8167,29.1,Upper Burgan (UB),199739.0,1.1388,0.409,,,1.1848,1.1368,350.0,,,,1449.0,,,,,,,True,False,False,True,True,False,False,False,3. FAILED_ZERO_NEGATIVE_LIFT,"Failed Gate 2: Negative/Zero Lift (PDP=2436.0 <= PIP=2436.0, dP=0.0 psi)"
GC-31,SA-0005_T,2021-04-15 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-665.4,1366.0,,,207.0,135.0,50.0,0.8333,31.0,Upper Burgan (UB),199739.0,1.1388,0.411,,,1.1364,1.1003,235.2,,,,1501.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=1366.0, PDP=nan)"
GC-31,SA-0005_T,2021-08-19 07:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-539.4,,2176.0,,186.0,140.0,49.5,0.825,25.3,Upper Burgan (UB),199739.0,1.1388,0.405,,,1.1477,1.1154,262.5,,,,1510.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=nan, PDP=2176.0)"
GC-31,SA-0005_T,2021-11-02 08:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-464.4,1348.0,,,215.1,139.3,48.0,0.8,20.5,Upper Burgan (UB),199739.0,1.1388,0.4,,,1.1349,1.1113,231.6,,,,1557.7,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=1348.0, PDP=nan)"
GC-31,SA-0005_T,2022-02-09 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-365.4,,,,187.0,135.0,48.0,0.8,20.4,Upper Burgan (UB),199739.0,1.1388,0.3999,,,1.1477,1.1216,262.5,,,,1457.0,,,,,,,False,False,False,True,True,False,False,False,7. FAILED_MISSING_TELEMETRY,"Failed Gate 1: Missing Telemetry (PIP=nan, PDP=nan)"
GC-31,SA-0005_T,2022-05-19 08:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-266.4,1391.0,2268.0,877.0,182.5,137.1,50.0,0.8333,20.4,Upper Burgan (UB),199739.0,1.1388,0.3999,14.33,20.64,1.1385,1.1143,240.3,2932.3,1557.3,113.26,1375.0,2631.5,2631.5,1256.5,91.38,91.38,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -266.4)
GC-31,SA-0005_T,2022-08-18 07:00,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,0.0,-175.4,1341.0,2416.0,1075.0,179.0,141.0,50.0,0.8333,41.1,Upper Burgan (UB),199739.0,1.1388,0.4215,16.67,24.01,1.1343,1.0873,230.2,2869.5,1385.5,93.36,1484.0,2639.0,2639.0,1155.0,77.83,77.83,OVER_PREDICTION,True,True,True,True,True,True,False,False,2. QUALIFIED_5QC_HISTORICAL_RUN,Pass 5 QC Gates (Historical Completion Run: Days = -175.4)
GC-31,SA-0005_T,2023-03-01 08:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,19.6,19.6,1406.0,3208.0,1802.0,252.0,153.0,50.0,0.8333,74.5,Upper Burgan (UB),199739.0,1.1388,0.4563,25.81,37.17,1.1397,1.0505,243.3,2552.4,338.4,15.28,2214.0,2429.6,2429.6,215.6,9.74,9.74,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2023-06-01 07:30,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,111.6,111.6,1401.0,3000.0,1599.0,248.0,154.0,50.0,0.8333,61.3,Upper Burgan (UB),199739.0,1.1388,0.4425,23.62,34.02,1.1393,1.0662,242.3,2642.6,254.6,10.66,2388.0,2478.6,2478.6,90.6,3.79,3.79,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
GC-31,SA-0005_T,2023-09-22 07:15,Alkhorayef (ACC),538 Series (ACC WE),WE-2600c,WE-2600,153,7150.0,224.6,224.6,1642.0,2584.0,942.0,224.0,153.0,50.0,0.8333,25.5,Upper Burgan (UB),199739.0,1.1388,0.4052,15.19,21.88,1.16,1.1243,291.9,2909.7,348.7,13.62,2561.0,2588.0,2588.0,27.0,1.05,1.05,OVER_PREDICTION,True,True,True,True,True,True,True,True,1. QUALIFIED_5QC_CLEAN_ACTIVE,Pass: Active completion run meeting all 5 QC physical screening gates
